Barcode	Cell ID	Cell Name	WellID	Sample	CompoundNo	CompoundConc	Signal	Modified	Created						
B13_1422_00173240	1422	BT-20	A13	BDR	0	0	2328	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A14	BDR	0	0	3016	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A15	BDR	0	0	2288	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A16	BDR	0	0	1992	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A17	BDR	0	0	2000	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A18	BDR	0	0	1784	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A19	BDR	0	0	2508	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A20	BDR	0	0	2452	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A21	BDR	0	0	2348	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A22	BDR	0	0	1980	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A23	BL	0	0	124	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	A24	BL	0	0	104	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	B01	BDR	0	0	1068	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	B02	CRL	0	0	1332	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	B12	CRL	0	0	2032	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	B13	CRL	0	0	2468	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	B23	BL	0	0	136	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	B24	BL	0	0	100	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	C01	BDR	0	0	1496	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	C02	CRL	0	0	1340	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	C12	CRL	0	0	2012	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	C13	CRL	0	0	2728	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	C23	BL	0	0	340	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	C24	BL	0	0	112	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D01	BDR	0	0	884	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D02	CRL	0	0	988	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D03	5	5	0	312	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D04	5	5	0	820	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D05	5	5	0	1144	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D06	5	5	0	1144	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D12	CRL	0	0	2144	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D13	CRL	0	0	2496	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D23	BL	0	0	216	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	D24	BL	0	0	132	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	E01	BDR	0	0	1044	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	E02	CRL	0	0	1076	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	E12	CRL	0	0	2276	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	E13	CRL	0	0	2264	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	E23	BL	0	0	168	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	E24	BL	0	0	12	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	F01	BDR	0	0	924	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	F02	CRL	0	0	1668	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	F12	CRL	0	0	2828	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	F13	CRL	0	0	1964	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	F23	BL	0	0	156	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	F24	BL	0	0	340	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	G01	BDR	0	0	1156	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	G02	CRL	0	0	2132	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	G12	CRL	0	0	2396	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	G13	CRL	0	0	2376	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	G23	BL	0	0	196	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	G24	BL	0	0	244	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	H01	BDR	0	0	992	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	H02	CRL	0	0	1520	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	H12	CRL	0	0	1980	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	H13	CRL	0	0	1900	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	H23	BL	0	0	192	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	H24	BL	0	0	128	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	I01	BDR	0	0	1032	2012-11-21 17:00:00	2012-11-21 17:00:00						
B13_1422_00173240	1422	BT-20	I02	CRL	0	0	1564	2012-11-21 17:00:00	2012-11-21 17:00:00						
